country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,35,32.7,56.8,39,51.5,68.2,67.3,56.7,64.5,64
Morocco,25,26.1,23.5,20.8,19.8,29.8,35.4,51.3,53.1,52.5,45.7,61.5,72.7,83.1,96.8,112,94.4,99.3,85.2,87.5,85.4,71.9,69.2,72.2,66.5,62.9,57.5,61.6,57.7,56.4,54.6,48.8,43.5,35.7,28.8,26.2,26.3,26.3,22.7,26.9,29.7,30,35.1,37.3,39.9,43.6,46.4
Mozambique,,,,,,,,,,,,,,,39.7,64.5,67,181,202,196,189,147,235,227,239,234,165,137,138,108,116,75.1,82.1,72.3,69.2,59.6,36.4,34.7,32.2,38.9,42.1,35.9,37.9,49.5,51.8,68.6,95.7
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,88.5,93.9,67.5,66.8,55.7,47.2,38,23.6,22,16.6,13.7,13.5,12.5,9.97,11.3,
Nepal,0.439,1.04,1.2,2.07,2.26,2.16,3.4,7.24,6.99,7.87,10.4,12.2,14.7,18.4,17.9,22.5,26.1,33.4,33.5,38.4,44.7,44.9,52.7,54.6,56.9,54.7,52.9,49,54.9,60.1,52.2,45.5,49.7,50.9,46.5,39.1,37.4,34.7,29.2,29,23.5,20.1,22.2,20.7,20.5,19.1,19.7
Nicaragua,34,38.7,43.8,50,48.4,59.2,56.5,64.7,78.3,116,110,113,132,164,168,234,245,211,389,1230,1110,960,879,880,366,281,155,153,143,138,139,126,128,134,90.8,81,63.9,56.8,56.9,73.3,82.3,83.6,54.2,91.1,87.7,85,85.4
Niger,4.88,6.01,7.4,6.88,9.22,11,12.6,13.4,34.9,30.8,35,48.8,49.4,55.2,69.5,87.5,76.5,76.1,76.1,69.5,72.5,66.7,66.9,99.5,101,87.6,79.3,87.4,82.1,85.9,96.6,84.6,86.2,79.6,65.1,57.9,21,25.5,17.8,23.5,27.3,35.1,34.5,35.6,33,41.2,43.5
Nigeria,6.93,11.3,9.55,12.6,7.84,6.22,3.77,8.82,14,13.3,14.6,19.2,23.8,50.5,64.2,67,115,134,130,136,120,134,110,228,210,130,95.9,84.8,104,84.6,80.5,78.5,59.9,61.2,51.2,26,6.83,7.86,6.81,10.3,4.43,4.54,4.13,4.32,4.51,6.15,7.86
Pakistan,33.6,35.3,43.5,70.3,56.6,50.3,50.1,47.8,43.4,41.8,38.8,34.8,35.3,37.8,35.9,40,45.6,47.4,42.5,44.1,49.5,50.2,50.7,47.3,52.6,49.5,47.3,48.6,52.4,54.7,45.2,44.7,46.5,42.5,36.3,30.4,26.6,27.1,28.6,32.6,34.1,28.9,26.3,23.8,23.7,22.9,24.1
Panama,19,21.2,27.2,31.6,34.9,42.2,58.4,69.3,79.7,79.7,72.3,73.3,73.2,75.7,75.4,75.1,77.4,79.9,105,111,107,103,84.7,81.4,77.3,67.9,63.3,58.7,57.8,59.9,55.9,65.4,62,63.2,59.6,56.5,55.9,47.6,190,181,183,175,163,162,167,185,178
Papua New Guinea,33.4,59.7,60.7,43.2,37.2,39.4,35.6,42.1,30.4,27.2,28.9,49.1,72.4,77.2,82.1,90.5,77.1,75.9,64,67.9,83.8,75.7,95.2,72,54.8,57.3,53.4,56.1,77,83.3,70.4,72.3,66.9,59.5,49.7,41.3,35.5,24.4,18.1,22.5,65.6,102,102,146,124,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,28,27.3,34.1,44.8,43.8,42.5,58.9,125,109,113,103,83.7,72,94.7,85.4,65.4,70,57.6,56.2,62.5,62.9
